city,Branch,Latitude,Longitude,Rating,Review Text,Review Date
Riyadh,Al Yasmin,24.8074386,46.661363,3,مكان هادي ومرتب وماشاءالله عندهم زباين وزحمه طلبت نوعين قهوة اليوم كولمبي واثيوبي بارده كلها حلوه كانت اول زياره لي..,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,3,لذيذ الوافل بس الاسعار نار وماينفع ينطلب للجمعات غالي مره,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,5,وافل لذيذ بنكهات حلوه كل شهر نكهه مختلفه,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوعين
Riyadh,Al Yasmin,24.8074386,46.661363,5,Yummmy🫶,قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,الوافل عندهم لذيذ,قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,4,"لذيذ بشكل عام
الكلاسيك لذيذ افضلة مع السيرب والفواكة
الشوكلاته داكنه ولذيذة المذاق
اومبا اومبا لذيذ لكن دسم",قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,3,"الوافل فيه زنخ بيض خاصه الي تشيزكيك و حبق
طعم الفليفر يجنن منعش وغريب لكن حرام زناخة البيض واضحه مره💔
الماتشا حلووه بدون فلسفه",قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,"رحت مساء الجمعة المكان مريح وملموم وريحته بخور، والموظفين محترمين واخلاقهم حلوة صدق، جربت قهوة v60 كولومبي لذيذة

حلو مره انهم موفرين كتب عالطاولات",قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,"وافل الفول السوداني والمربى عاجبني جدا وما اتوقع بتجي نكهة بتغطي عليه ياليت يتثبت على طول

القهوة حليوة والمكان صغير",قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,ما شالله اشكر طارق على المعاملة الجميله وحسن التعامل حبت الكفي مره اكلهم نظيف وتعامل جميل انشالله اجي كل يوم 🥰,قبل 3 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,2,وافل حلووو وخفيف يعطيكم العافيه,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,4,Love their flavors. Unique and creative.,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,4,"الكاسترد وافل حقهم يييججنننن
برضو الوافل العادي حلو وايس كريم الفانيليا فيه نكهه فانيليا قويه بس حلوه",قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,كل شيء بدون استثناء لذيذ و فوق الخيال ( اسعار + جودة ) ماشاء الله تبارك الرحمن انا فخورة فيهم الله يوفقهم ومنها للاعلى يارب 👏🏻,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,ذقت نكهة الشهر الليمون والفراوله مع الحبق وايسكريم افوغاتو وفلات وايت شيء مبهر 🫡😍,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,Best waffles but the seating area is super small and the tables and charis are super uncomfortable,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,Love love love. Good price and quality.,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,شغل قوي جدا ومرتب كل التوفيق والنجاح جميع الأصناف عشرة على عشرة كل ما جيت الرياض اسجل زيارة 😊,قبل 4 أسابيع
Riyadh,Al Yasmin,24.8074386,46.661363,5,"Waffles were tasty as usual.
The matcha-to-salted vanilla ratio was good but could use a slight adjustment.
I’d love to see more experimentation with flavors like taro, yuzu with black sesame, ube (on its own or paired with matcha), pandan, or sakura.",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,2,"سمعت عليه مدح موب طبيعي وجيت اجربه ، حليو لكن ما اكرر الزيارة ..
المكان ضيّق بشكل موب طبيعي حرفياً الطاولات في ممر ونص الطاولات بدون كراسي لان الطاولات الثانية ماخذينها ، يعني تتقهوى وفي وجهك ناس يطلبون والكاشير قدامك
الوافل حليو التشوكلت اللي جوا تجي اعواد مو زي النوتيلا ، وجودة التشوكلت نفسه موب مرة حلو يعني عادي ..
القهوة عادية بشكل عام تقييمي 5/10 ..",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,روعة كل شي فيه زين,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,الخدمة فوق رائعة من الكاشير والموظفين وفلوتد من الكافيهات القليلة الي حافظت على جودة القهوة و الوافل كلها فوق التقيم صراحةً,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,طعم الكركديه ممتاز,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,ممتاز لكن السعر مرتفع قليلاً,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
